1865    1865-06-11	3003
1896	1896-02-07	3718
1896	1896-02-07	3723
1896	1896-02-07	4408
1896	1896-02-25	3711
1896	1896-02-25	3745
1896	1896-02-25	3746
1896	1896-02-25	3759
1896	1896-02-25	3762
1896	1896-02-25	4585
1896	1896-03-03	3728
1896	1896-03-03	3774
1896	1896-03-03	3776
1896	1896-03-03	3777
1896	1896-03-03	3778
1896	1896-03-03	3780
1896	1896-03-03	3786
1896	1896-03-03	3790
1896	1896-03-03	3796
1896	1896-03-03	3797
1896	1896-03-03	3801
1896	1896-03-03	3802
1896	1896-03-03	3806
1896	1896-03-03	3809
1896	1896-03-03	4362
1896	1896-03-10	3352
1896	1896-03-10	3411
1896	1896-03-10	3733
1896	1896-03-10	3770
1896	1896-03-10	3825
1896	1896-03-10	3831
1896	1896-03-10	3859
1896	1896-03-10	3861
1896	1896-03-10	3863
1896	1896-03-10	3885
1896	1896-03-10	3895
1896	1896-03-10	4734
1896	1896-03-10	4765
1896	1896-03-10	4812
1896	1896-03-17	3421
1896	1896-03-17	3832
1896	1896-03-17	3904
1896	1896-03-17	3931
1896	1896-03-24	3424
1896	1896-03-24	3442
1896	1896-03-24	3444
1896	1896-03-24	3620
1896	1896-03-24	3621
1896	1896-03-24	3622
1896	1896-03-24	3826
1896	1896-03-24	3913
1896	1896-03-24	3915
1896	1896-03-24	3916
1896	1896-03-24	3922
1896	1896-03-24	3925
1896	1896-03-24	3927
1896	1896-03-24	3929
1896	1896-03-24	3942
1896	1896-03-24	3954
1896	1896-03-31	3446
1896	1896-03-31	3447
1896	1896-03-31	3448
1896	1896-03-31	3452
1896	1896-03-31	3456
1896	1896-03-31	3750
1896	1896-03-31	3864
1896	1896-03-31	3973
1896	1896-03-31	4694
1896	1896-04-08	4851
1896	1896-04-14	3458
1896	1896-04-14	3464
1896	1896-04-14	3475
1896	1896-04-14	3482
1896	1896-04-14	3850
1896	1896-04-14	3893
1896	1896-04-14	3981
1896	1896-04-14	3993
1896	1896-04-14	4007
1896	1896-04-14	4395
1896	1896-04-21	3829
1896	1896-04-21	3991
1896	1896-04-21	4009
1896	1896-04-21	4014
1896	1896-04-21	4016
1896	1896-04-21	4022
1896	1896-04-21	4031
1896	1896-04-21	4582
1896	1896-04-21	4617
1896	1896-04-21	4811
1896	1896-04-21	4876
1896	1896-04-21	4877
1896	1896-04-28	3349
1896	1896-04-28	3365
1896	1896-04-28	3989
1896	1896-04-28	4005
1896	1896-04-28	4017
1896	1896-04-28	4023
1896	1896-04-28	4030
1896	1896-04-28	4032
